Year 	Jan 	Feb 	Mar 	Apr 	May 	Jun 	Jul 	Aug 	Sep 	Oct 	Nov 	Dec 	HALF1 	HALF2
1956	 	 	40.4	 	 	40.8	 	 	41.3	 	 	41.8	 	 
1957	 	 	42.0	 	 	42.2	 	 	42.0	 	 	42.1	 	 
1958	 	 	41.9	 	 	41.7	 	 	41.8	 	 	41.7	 	 
1959	 	 	41.8	 	 	42.0	 	 	41.9	 	 	41.8	 	 
1960	 	 	41.9	 	 	41.8	 	 	42.0	 	 	42.2	 	 
1961	 	 	42.2	 	 	42.5	 	 	42.4	 	 	42.5	 	 
1962	 	 	42.5	 	 	42.7	 	 	42.5	 	 	42.7	 	 
1963	 	 	42.7	 	 	42.7	 	 	42.8	 	 	42.9	 	 
1964	 	 	 	 	 	42.9	 	 	 	 	 	42.8	 	 
1965	 	 	 	 	 	43.1	 	 	 	 	 	43.2	 	 
1966	 	 	43.5	 	 	44.1	 	 	44.5	 	 	45.1	 	 
1967	 	 	45.4	 	 	45.7	 	 	46.1	 	 	46.6	 	 
1968	 	 	47.5	 	 	48.1	 	 	48.6	 	 	49.2	 	 
1969	49.3	49.5	50.1	50.5	51.0	51.0	51.2	51.3	51.5	51.8	51.8	51.9	 	 
1970	52.0	52.2	52.5	52.8	53.0	53.1	53.1	53.0	53.2	53.3	53.6	53.8	 	 
1971	53.6	53.8	54.1	54.5	54.6	54.8	54.8	54.8	54.9	55.0	55.0	55.0	 	 
1972	54.9	54.8	55.3	55.5	55.8	55.7	55.6	55.5	55.6	55.7	55.9	56.0	 	 
1973	55.8	55.8	56.3	56.7	57.2	57.6	57.7	57.8	58.2	58.3	58.8	58.9	 	 
1974	59.3	59.4	60.2	60.9	61.7	62.5	62.6	63.1	63.9	64.6	65.0	65.2	 	 
1975	65.1	65.2	66.0	67.1	67.7	67.7	67.6	67.7	68.1	68.5	68.7	68.8	 	 
1976	68.6	68.8	69.2	69.5	69.7	69.8	70.1	69.7	69.8	70.1	70.7	71.0	 	 
1977	70.9	70.7	71.3	72.2	72.4	72.6	72.6	72.8	72.9	73.1	73.4	73.7	 	 
1978	73.1	73.3	74.2	75.4	75.9	76.3	75.6	75.9	77.4	78.2	78.8	78.8	 	 
1979	78.7	78.9	79.8	80.9	81.1	81.4	81.0	81.2	81.7	82.5	83.5	83.8	 	 
1980	84.3	84.9	86.7	87.5	88.0	88.7	88.4	88.3	89.7	89.5	90.1	90.3	 	 
1981	90.1	91.3	92.4	93.4	93.6	93.8	94.4	94.1	95.2	95.3	95.9	96.1	 	 
1982	96.0	96.0	97.2	98.4	98.6	98.3	98.2	96.4	97.8	98.9	98.1	98.7	 	 
1983	98.0	98.0	98.9	101.6	100.8	100.8	101.1	99.6	99.9	100.7	100.9	101.4	 	 
1984	100.6	99.3	100.1	102.1	102.6	102.3	101.8	101.2	103.4	104.6	104.2	103.4	 	 
1985	102.7	103.1	103.9	106.2	105.0	105.1	104.0	104.6	103.7	106.1	107.1	106.8	 	 
1986	106.6	105.9	106.7	106.3	106.9	106.7	107.7	106.7	107.4	108.4	107.9	109.2	 	 
1987	108.3	107.8	108.9	110.4	110.0	109.3	109.8	109.8	109.6	110.0	111.1	111.5	 	 
1988	110.5	109.9	112.8	112.6	112.1	113.4	114.5	112.9	113.9	114.9	116.0	115.4	 	 
1989	115.0	114.0	112.9	113.0	113.2	113.5	114.4	113.6	114.2	115.5	113.8	113.8	 	 
1990	115.5	115.3	116.4	116.5	115.9	114.8	116.7	115.6	115.3	116.3	114.8	115.1	 	 
1991	115.6	116.7	115.8	116.3	117.8	117.6	117.8	115.9	116.3	117.1	116.2	116.2	 	 
1992	116.8	118.9	121.2	122.3	119.9	120.6	121.3	120.2	120.2	121.9	122.4	121.4	 	 
1993	122.1	121.7	122.9	122.8	122.5	123.4	122.9	123.4	124.1	125.4	125.2	125.8	 	 
1994	126.7	126.5	126.5	127.8	128.8	129.7	129.8	129.6	128.6	128.5	127.7	127.8	 	 
1995	128.2	129.6	130.3	130.1	129.6	130.0	131.2	131.9	132.2	132.2	131.8	133.2	 	 
1996	133.6	132.7	132.7	134.1	133.6	134.7	134.2	134.5	135.4	134.5	134.6	134.5	 	 
1997	133.3	133.2	134.1	134.5	136.4	136.0	134.5	134.3	134.8	134.9	134.0	133.5	 	 
1998	133.0	133.6	135.1	135.9	135.1	135.5	136.6	136.1	134.9	134.7	134.5	135.4	 	 
1999	135.0	135.0	135.7	136.7	134.8	134.8	135.2	134.7	135.2	134.2	133.6	133.7	 	 
2000	134.4	134.7	135.8	134.6	133.6	132.8	133.5	133.4	135.8	135.0	134.8	134.2	 	 
2001	133.4	133.7	133.5	133.8	132.7	132.5	132.2	131.4	131.3	130.7	130.6	130.0	 	 
2002	129.4	129.4	129.8	129.8	130.0	130.0	129.9	129.3	129.2	129.1	128.7	128.6	 	 
2003	128.3	128.7	128.2	128.6	127.9	127.7	127.9	127.8	127.5	127.1	126.4	126.5	 	 
2004	127.4	128.1	128.1	127.6	127.0	128.9	127.8	126.6	126.6	126.9	126.3	126.3	 	 
2005	126.5	125.3	126.4	126.8	126.9	125.3	125.7	125.1	124.9	125.1	126.0	127.1	 	 
2006	127.0	126.5	126.3	127.1	127.4	127.8	127.4	127.6	126.7	127.0	126.7	126.2	 	 
2007	126.021	127.137	127.438	127.167	126.585	126.796	126.365	125.770	125.076	123.869	124.296	123.506	 	 
2008	123.792	123.903	125.966	124.559	123.485	124.003	124.620	124.775	125.501	125.734	124.705	123.379	 	 
2009	123.797	124.458	125.653	126.277	126.506	126.520	125.609	123.494	124.588	124.023	123.142	123.373	 	 
2010	123.048	122.467	121.957	119.953	120.762	119.699	119.036	118.324	118.041	118.035	117.758	117.780	 	 
2011	117.392	117.173	117.898	118.242	118.844	119.725	118.778	118.812	118.122	118.510	119.058	120.117	 	 
2012	119.608	119.380	120.374	120.323	120.533	120.470	120.943	120.343	120.515	120.349	120.198	119.669	 	 
2013	118.898	119.357	119.705	119.711	119.570	119.840	119.085	118.860	117.870	117.757	117.271	116.859	 	 
2014	116.982	115.742	115.734	116.551	116.622	116.875	115.397	114.552	113.801	114.583	114.649	114.983	 	 
2015	114.451	113.972	114.966	116.506	115.645	115.679	114.991	113.508	114.085	114.028	113.993	114.081	 	 
2016	114.132	113.291	113.588	113.325	112.781	112.043	111.511	110.208	110.399	111.731	110.926	110.833	 	 
2017	111.802	111.744	111.645	111.305	111.207	111.237	110.631	111.008	110.815	110.346	110.311	110.075	 	 
2018	110.844	110.577	110.177	111.418	111.132	111.262	110.636	110.270	111.429	111.770	111.217	111.923	110.902	111.208
2019	112.313	113.192	113.775	113.170	113.765	114.718	114.901	112.971	113.987	114.079	113.699	113.223	113.489	113.810
2020	113.491	114.491	113.176	111.007	112.314	113.116	112.222	114.047	114.960	114.508	115.428	115.696	112.933	114.477
2021	115.163	115.123	117.165	119.675	121.954	122.793	122.111	124.877	127.817	128.263	129.017	131.628	118.646	127.286
2022	134.732	134.841	135.635	137.665	137.398	138.927	140.189	140.884	140.692	138.939	137.797	137.754	136.533	139.376
2023	137.692	137.918	138.416	137.709	136.692	136.784	136.291	134.705	133.112	134.962	133.515	131.895	137.535	134.080
2024	133.656	132.767	133.108	132.445	131.599	130.479	129.181	127.872	129.994	131.300	131.089	129.873	132.342	129.885
2025	130.144	129.987	130.731	132.645	131.610	132.186	133.374	133.823	 	 	 	 	131.217	 
